item_id,pedido_id,produto_id,quantidade,preco_unitario,desconto
1,1,2,5,42.63,0.2
2,1,37,2,66.03,0.0
3,2,49,4,280.08,0.15
4,2,10,3,589.49,0.05
5,2,32,4,448.28,0.0
6,2,46,2,556.74,
7,3,15,2,152.77,
8,3,6,4,539.75,0.0
9,3,21,2,737.86,0.15
10,4,49,2,299.53,0.15
11,5,31,3,187.67,0.15
12,5,59,1,731.26,0.05
13,6,55,2,514.89,0.15
14,6,1,3,668.44,0.15
15,6,16,4,489.55,0.15
16,6,22,2,560.01,
17,7,58,5,119.11,0.1
18,7,52,4,67.67,0.0
19,7,9,1,27.04,0.05
20,8,48,1,523.92,0.2
21,8,24,1,245.98,0.1
22,8,31,5,179.42,0.0
23,8,44,3,766.32,0.05
24,9,39,2,153.01,0.15
25,10,29,5,212.65,
26,10,31,5,179.13,0.15
27,10,29,5,213.37,0.2
28,11,8,1,179.24,
29,12,44,5,760.8,0.15
30,12,35,5,506.74,0.2
31,12,59,1,702.79,0.15
32,12,2,5,43.19,
33,13,9,3,28.14,0.0
34,13,8,4,190.62,0.2
35,13,39,2,168.44,0.0
36,13,30,5,90.66,0.0
37,14,53,4,317.97,
38,15,51,2,189.48,0.15
39,15,59,4,765.85,0.05
40,16,43,2,249.97,0.1
41,16,37,2,65.98,0.2
42,16,32,5,446.78,
43,17,5,5,680.67,0.1
44,17,6,3,505.42,0.2
45,17,55,2,526.97,
46,18,7,2,197.75,0.15
47,18,1,1,639.05,0.05
48,18,25,2,385.25,
49,18,24,2,276.41,0.1
50,19,23,1,526.78,0.2
51,19,2,5,46.22,0.2
52,19,30,2,102.42,
53,19,37,3,64.69,0.05
54,20,21,2,660.18,0.0
55,21,41,1,42.54,0.1
56,22,42,2,439.13,0.2
57,22,35,5,466.95,0.05
58,23,1,1,660.2,0.0
59,24,45,2,382.61,0.1
60,24,8,2,183.5,0.0
61,24,50,2,342.76,0.1
62,25,23,2,517.54,0.05
63,25,43,4,246.82,0.2
64,25,32,4,450.1,0.1
65,25,60,3,359.96,0.15
66,26,27,1,731.31,0.0
67,27,38,4,216.76,0.15
68,27,48,3,496.79,0.2
69,27,58,4,109.45,0.05
70,27,13,1,20.21,0.15
71,28,8,1,177.69,0.1
72,28,30,2,99.97,
73,29,27,2,741.81,0.15
74,29,33,2,677.15,0.0
75,29,28,1,283.39,0.05
76,30,22,5,552.52,0.0
77,30,3,2,540.09,
78,31,13,1,20.98,0.1
79,32,60,5,367.11,0.1
80,32,37,1,62.31,0.2
81,32,17,2,156.72,
82,33,25,1,385.54,0.2
83,34,35,4,460.75,0.15
84,34,6,5,500.61,0.15
85,35,60,4,381.52,0.15
86,36,40,2,679.82,0.0
87,36,39,2,158.96,
88,37,17,3,147.72,0.05
89,37,10,3,678.63,0.15
90,37,2,5,46.27,0.0
91,38,16,4,474.25,0.05
92,38,23,1,486.96,
93,39,45,5,400.95,0.2
94,39,44,1,801.29,0.0
95,39,21,1,710.22,0.05
96,39,55,2,544.19,0.2
97,40,56,4,384.29,0.0
98,40,55,2,491.25,0.05
99,41,41,5,42.83,0.15
100,42,30,2,90.97,0.15
101,42,12,2,122.88,0.1
102,42,38,2,216.04,0.05
103,42,35,1,517.37,0.15
104,43,22,4,584.54,0.1
105,44,25,2,336.81,0.2
106,44,52,4,64.66,0.0
107,45,52,5,72.61,
108,45,44,4,794.84,0.15
109,45,37,5,61.5,
110,46,19,5,423.53,0.1
111,46,27,1,659.93,0.1
112,47,37,1,66.74,0.2
113,48,57,1,275.84,0.1
114,49,14,4,269.04,
115,50,8,5,179.73,0.15
116,50,23,3,495.69,
117,50,47,3,391.1,0.1
118,50,21,2,705.45,0.15
119,51,16,1,462.03,0.15
120,52,54,4,256.88,
121,52,8,2,185.26,
122,53,59,5,730.67,0.1
123,53,4,4,593.27,0.2
124,53,27,2,681.4,0.0
125,54,10,1,625.84,0.2
126,54,35,1,481.81,
127,54,36,1,577.47,0.2
128,55,1,4,719.96,0.05
129,55,2,3,45.82,0.1
130,55,41,4,42.19,0.15
131,56,4,4,647.62,
132,56,17,4,151.32,0.0
133,56,2,3,42.35,0.15
134,56,49,4,314.5,0.0
135,57,6,5,523.78,0.0
136,57,52,1,73.57,
137,57,21,3,655.49,0.2
138,57,59,4,775.19,0.1
139,58,53,5,323.75,0.2
140,58,1,5,698.46,0.1
141,58,8,2,198.79,0.05
142,59,53,1,322.16,0.2
143,59,40,3,700.66,0.1
144,59,47,4,377.77,0.15
145,60,24,4,265.47,0.15
146,61,4,4,682.54,0.05
147,61,34,4,759.55,0.1
148,62,59,1,677.52,0.1
149,62,25,3,363.87,0.05
150,63,15,2,162.12,0.1
151,64,43,5,241.52,0.05
152,64,47,2,374.63,0.2
153,65,32,3,408.23,0.0
154,65,32,2,416.24,0.15
155,66,9,2,28.85,0.1
156,66,21,2,737.28,0.05
157,67,41,1,41.22,0.0
158,67,3,2,550.55,0.0
159,68,21,2,666.29,
160,68,59,2,697.72,0.2
161,68,56,5,352.22,0.1
162,68,6,1,470.77,0.15
163,69,59,4,732.59,0.2
164,69,60,5,393.97,0.15
165,70,8,5,199.01,0.15
166,70,39,5,159.56,0.0
167,70,37,3,70.67,0.05
168,70,36,1,566.47,
169,71,7,2,224.73,0.1
170,71,44,5,761.49,0.15
171,71,35,3,505.74,
172,72,44,3,697.42,0.0
173,72,9,3,30.09,
174,73,50,5,341.32,0.2
175,73,9,4,30.57,
176,73,50,1,326.57,0.1
177,73,31,5,172.42,0.1
178,74,33,5,669.19,0.1
179,74,5,2,682.65,0.2
180,75,15,5,147.58,0.15
181,76,17,1,153.13,0.1
182,76,17,4,156.66,0.2
183,76,31,1,196.13,
184,76,38,1,193.09,
185,77,22,3,562.48,0.0
186,77,38,3,194.26,
187,77,38,3,210.49,0.2
188,78,49,4,282.46,
189,78,2,4,43.4,0.15
190,78,4,1,642.65,0.15
191,79,8,4,179.1,
192,79,58,2,119.37,0.05
193,80,1,5,687.78,0.05
194,80,9,1,29.73,0.1
195,80,18,2,614.15,0.15
196,80,11,4,143.73,0.15
197,81,32,4,409.4,0.05
198,82,11,3,157.27,0.1
199,82,36,2,592.94,0.2
200,82,42,2,483.01,
201,82,10,1,585.82,
202,83,56,2,348.95,0.15
203,83,57,4,270.89,0.15
204,83,57,3,255.54,0.05
205,84,59,4,779.74,0.15
206,84,20,1,582.81,0.05
207,84,41,5,41.72,0.2
208,85,11,5,156.16,
209,85,52,3,68.3,0.1
210,85,15,5,156.52,0.05
211,86,19,3,408.09,0.0
212,86,50,1,344.81,0.1
213,86,33,3,641.16,0.05
214,86,16,1,480.55,0.1
215,87,58,5,122.37,0.05
216,87,33,3,702.21,0.05
217,88,5,2,656.26,0.1
218,88,43,3,234.86,0.0
219,88,17,4,163.32,0.0
220,89,55,3,550.76,0.0
221,90,1,3,679.33,
222,91,41,5,41.33,0.0
223,91,28,1,285.92,0.0
224,91,21,1,649.46,0.0
225,92,31,3,173.68,0.05
226,92,56,4,384.12,0.1
227,93,25,4,377.93,
228,93,40,4,658.85,
229,93,51,4,165.23,0.0
230,94,29,4,212.74,0.05
231,95,15,4,151.51,0.05
232,96,18,5,603.13,
233,96,1,3,694.28,
234,96,11,4,149.98,0.05
235,97,24,4,262.69,0.2
236,97,3,3,557.07,0.15
237,98,38,2,220.1,0.0
238,98,20,4,528.03,0.2
239,98,59,4,730.05,
240,98,15,1,166.82,0.1
241,99,18,3,610.31,0.0
242,99,58,5,117.08,
243,99,23,4,535.34,0.0
244,99,28,2,271.81,
245,100,50,4,365.67,
246,100,32,2,440.16,0.15
247,100,4,2,609.26,0.15
248,101,41,2,39.36,
249,102,51,5,170.28,0.0
250,103,10,2,590.5,0.05
251,104,33,2,674.16,0.15
252,105,12,1,127.05,
253,106,20,4,553.53,0.15
254,106,38,5,191.58,
255,107,2,2,40.61,0.1
